userid,joindate,courseid
1025,2020-07-13,344
8852,2023-09-02,566
8284,2024-08-16,573
6304,2020-04-08,30
9338,2024-10-15,687
6135,2020-09-12,526
4514,2023-05-21,235
4502,2023-02-11,569
6613,2022-09-02,781
2050,2021-12-19,136
7156,2023-05-04,660
4069,2020-03-11,775
8942,2024-06-04,488
9881,2023-12-15,873
6644,2022-11-30,170
9559,2021-04-11,59
2465,2020-01-25,963
5907,2020-07-04,432
8823,2020-07-05,265
3142,2020-06-04,17
4911,2020-07-10,246
6546,2020-08-13,298
7578,2024-10-07,914
8891,2022-02-04,439
1782,2020-12-02,230
2318,2023-05-18,502
3014,2022-09-20,653
6165,2021-06-26,681
8014,2024-08-26,541
1531,2022-12-07,489
6687,2023-12-22,362
4783,2020-09-27,724
8118,2023-03-17,852
6232,2022-07-20,551
8952,2022-12-15,661
3151,2021-06-29,375
3661,2021-05-07,664
6048,2024-04-05,961
3918,2020-09-13,265
8824,2024-06-01,909
5743,2021-02-17,697
556,2020-01-02,390
49,2022-05-28,87
914,2023-09-29,22
3437,2022-11-09,531
4413,2024-09-30,205
3022,2022-07-27,296
8259,2020-08-04,318
5240,2021-03-26,674
605,2023-05-13,570
734,2020-04-08,304
9563,2020-01-31,959
676,2024-04-06,37
1895,2022-02-16,194
5612,2024-08-03,927
3232,2024-04-24,213
9213,2024-10-28,863
7578,2020-08-02,1000
8840,2022-06-08,767
4715,2022-08-07,114
5729,2020-10-28,814
2317,2022-04-11,957
5916,2021-11-16,290
3446,2023-08-27,787
5056,2022-04-13,857
7566,2022-06-28,425
3377,2023-02-15,122
4127,2022-06-13,513
9363,2022-02-08,910
5026,2024-04-13,881
6557,2024-07-19,449
3770,2024-01-13,43
384,2022-12-19,473
4874,2021-02-12,147
799,2024-01-19,237
9453,2021-06-25,287
6862,2022-11-17,256
6886,2024-05-28,168
478,2023-04-20,840
4883,2023-12-27,576
5825,2024-10-24,617
1135,2022-08-12,124
462,2021-06-30,605
694,2021-10-11,675
5055,2020-10-17,584
5267,2020-12-20,477
8378,2024-06-15,632
4023,2024-07-16,108
5799,2024-11-22,586
1332,2023-08-17,95
3120,2023-05-24,834
8247,2022-11-27,673
3613,2020-01-03,260
2028,2021-04-26,686
6326,2021-10-27,444
5941,2020-01-08,577
7688,2022-09-07,258
7921,2023-12-02,674
3669,2020-01-09,359
1758,2020-11-14,684
3786,2022-12-25,901
5424,2020-08-26,504
2518,2024-08-24,871
9766,2021-06-25,475
7707,2024-08-10,673
8582,2022-09-30,443
3545,2024-01-03,290
6045,2021-12-11,629
8170,2021-07-29,631
1994,2024-09-19,70
1114,2021-09-10,627
5110,2022-06-30,930
3091,2021-10-03,804
1118,2021-06-14,926
2321,2021-10-04,205
2392,2023-07-10,400
1660,2024-10-23,73
3029,2021-11-14,982
6220,2020-06-26,67
7308,2023-02-21,953
7029,2021-11-19,65
6926,2020-07-23,346
973,2022-04-12,948
729,2023-04-01,372
3426,2024-10-10,633
4305,2024-02-18,887
2889,2021-09-03,477
343,2022-02-26,133
4445,2022-08-07,909
1450,2020-10-03,14
2579,2022-02-10,421
7829,2021-07-10,953
6406,2023-10-09,986
9834,2024-08-06,658
3029,2020-11-28,941
6289,2023-11-23,168
587,2024-01-22,450
5558,2021-04-02,418
729,2023-12-08,179
3891,2024-09-09,20
4929,2020-07-24,790
205,2022-08-26,470
2396,2023-04-14,68
2170,2020-10-01,478
799,2022-03-27,326
2545,2021-07-26,26
5260,2024-04-06,684
1282,2023-12-25,106
7502,2020-02-06,883
6968,2022-10-04,511
9246,2024-06-09,244
5958,2020-01-19,810
1064,2021-01-17,658
3789,2020-09-07,56
7259,2021-06-16,785
2590,2022-09-11,317
3107,2021-09-25,339
4023,2020-11-16,634
4451,2020-11-06,786
5680,2023-10-30,262
9640,2021-08-31,156
209,2023-11-13,566
3530,2020-11-01,7
8462,2024-09-13,71
3878,2021-03-27,537
466,2022-09-10,597
6851,2023-11-22,137
2408,2024-02-01,874
4692,2021-11-27,441
7776,2023-05-15,901
1213,2020-09-15,819
4742,2021-08-26,202
4330,2020-07-28,961
7374,2021-03-20,819
6535,2023-04-01,257
4735,2021-11-23,739
4602,2020-09-30,433
4010,2023-10-14,76
1345,2022-11-24,972
4887,2022-05-29,154
8710,2024-02-25,871
1997,2022-04-11,419
1934,2022-02-20,539
9673,2022-06-06,835
5927,2023-08-13,697
3586,2020-01-05,558
4325,2020-12-02,13
8863,2022-01-01,622
3498,2023-08-19,608
6261,2024-11-29,143
825,2023-04-17,74
4161,2023-03-17,939
6664,2024-02-02,527
4110,2022-10-31,128
3365,2023-04-03,308
8894,2021-10-11,372
4688,2023-02-14,726
5154,2020-10-31,733
8498,2020-04-16,3
650,2024-01-04,466
2852,2022-12-21,684
2513,2021-02-25,329
2394,2020-02-15,16
838,2021-06-06,32
4985,2024-11-16,961
2571,2022-09-05,995
446,2024-08-08,140
5315,2021-11-19,443
1008,2022-02-22,440
6068,2022-10-23,104
941,2020-04-26,312
4765,2024-01-04,112
2242,2022-09-25,190
8332,2022-03-19,487
1561,2023-02-03,457
1997,2022-11-20,814
4881,2022-02-07,433
9094,2020-06-26,769
9538,2020-02-28,1000
3955,2024-02-10,559
6482,2021-11-19,48
8346,2023-06-17,570
110,2020-01-12,496
3503,2024-08-22,872
8934,2021-02-25,676
775,2023-01-18,655
804,2020-10-18,642
6882,2020-01-26,962
3774,2022-05-08,994
4343,2020-11-21,585
2762,2024-10-01,39
1360,2022-03-31,871
775,2022-08-14,130
4055,2024-01-09,582
9716,2021-12-11,677
3104,2021-10-14,629
9900,2023-02-13,262
7743,2024-04-05,20
7676,2022-08-22,54
8302,2022-08-03,966
3319,2024-01-17,462
6409,2023-01-10,492
1965,2023-06-23,609
7272,2023-03-08,843
5317,2022-09-16,633
6010,2023-04-05,342
2226,2023-09-04,964
7525,2022-08-27,919
3856,2020-08-13,99
1847,2023-09-30,384
2092,2024-08-15,355
4050,2022-03-25,528
6817,2024-03-28,868
7478,2021-06-30,949
9034,2023-06-21,9
4542,2021-07-06,60
7508,2024-10-14,825
9410,2022-06-15,879
7309,2024-05-04,525
1005,2024-04-18,220
5702,2022-01-19,64
7225,2024-10-31,47
2711,2021-10-07,804
8434,2023-10-11,276
868,2022-03-18,569
667,2023-02-22,187
1450,2023-06-09,512
1555,2020-08-28,95
9800,2024-07-19,277
9071,2023-03-16,682
7531,2023-07-19,452
4662,2020-09-11,467
4676,2022-01-21,63
2192,2020-04-26,624
2882,2024-06-01,51
7399,2022-03-20,788
9708,2022-04-16,364
6943,2022-12-19,80
9361,2024-09-04,50
7112,2022-01-15,661
7103,2024-02-10,620
3881,2022-05-01,155
6568,2020-11-05,835
6162,2020-09-19,18
7724,2021-12-31,842
5842,2023-03-16,848
9863,2022-05-31,487
4650,2020-04-13,140
6088,2021-04-19,619
7880,2022-10-03,162
1592,2021-08-25,450
9210,2023-01-06,674
135,2024-01-28,676
9437,2021-10-27,726
6964,2022-01-18,14
2793,2021-01-12,873
3905,2021-10-21,342
9703,2020-02-18,725
8649,2021-10-07,564
8262,2021-11-18,3
4903,2023-04-24,93
6975,2021-03-16,344
4299,2020-08-16,404
5729,2023-03-01,863
5775,2021-01-12,780
7054,2022-12-08,675
8023,2021-06-12,375
5105,2021-05-02,829
2685,2020-04-29,138
6132,2020-07-31,507
8942,2023-05-06,101
4991,2021-10-12,593
1961,2022-03-05,998
7782,2024-10-20,785
354,2023-06-02,911
6248,2022-05-17,54
9640,2023-05-20,180
4334,2020-12-05,634
7856,2024-07-14,790
6869,2022-01-11,476
9068,2023-07-29,278
3591,2022-08-14,413
1781,2024-10-16,550
2922,2022-06-29,919
8763,2020-05-16,601
7313,2020-07-21,550
414,2024-12-04,232
6596,2024-01-27,377
5012,2024-01-15,273
8384,2022-08-29,583
768,2021-03-05,454
7958,2023-03-10,615
9487,2022-06-18,533
6159,2021-04-12,793
6787,2024-10-08,618
2,2020-05-05,617
7839,2024-09-03,703
662,2023-03-16,360
6487,2023-09-25,330
2978,2021-10-19,994
1901,2021-09-18,420
9831,2024-05-30,344
9894,2023-09-13,286
3724,2022-07-11,730
3649,2024-09-24,304
3136,2020-02-06,600
7647,2023-04-24,363
9426,2020-11-21,550
1210,2024-06-07,468
4190,2021-06-05,230
8930,2020-06-03,145
2567,2023-01-10,297
6840,2021-01-29,201
3350,2020-09-05,768
9314,2022-07-18,161
594,2023-04-05,181
3987,2022-02-15,888
6088,2020-09-02,273
2825,2023-03-29,720
345,2024-02-16,871
8313,2020-10-01,352
1519,2021-09-02,22
9254,2021-12-18,340
232,2022-04-08,784
6388,2020-11-12,545
8113,2020-12-09,835
8109,2020-02-01,970
3862,2021-07-22,365
2692,2023-03-07,55
52,2023-05-16,407
5032,2020-02-21,702
7641,2020-10-17,641
7763,2023-10-04,968
4914,2022-05-23,187
9460,2022-10-02,208
1747,2020-01-22,520
877,2024-02-25,604
3219,2023-03-23,746
8996,2020-11-01,859
1230,2020-06-22,811
9351,2022-02-09,581
9596,2020-01-27,209
5181,2024-06-20,807
2343,2024-09-29,655
1704,2023-05-03,294
3954,2021-07-31,19
8829,2020-06-12,399
1339,2022-05-13,892
2164,2022-06-20,506
9361,2021-06-12,316
7663,2021-10-11,767
8412,2022-03-27,177
8194,2020-11-17,350
4957,2023-09-17,537
3872,2021-07-20,991
7823,2023-10-27,479
2434,2022-04-22,788
4244,2024-05-27,702
5274,2024-02-18,63
6050,2022-07-17,948
5239,2022-10-02,695
5214,2024-02-20,30
1447,2023-06-14,132
1727,2021-01-11,408
5558,2023-12-17,252
5888,2023-07-26,764
3146,2022-01-29,235
5939,2020-11-01,413
401,2022-05-02,949
6246,2023-12-28,416
8630,2020-08-22,246
3884,2020-11-20,741
2557,2020-08-19,319
4124,2022-03-03,474
6815,2023-06-23,363
7606,2023-11-28,474
923,2023-04-04,849
7197,2023-08-26,893
1560,2022-02-01,201
2481,2023-02-14,127
7932,2022-03-09,172
3393,2024-09-21,593
3811,2021-07-07,606
8511,2021-06-21,797
7448,2022-04-01,283
2764,2021-10-04,367
5923,2020-05-04,194
9763,2021-09-23,887
1296,2022-10-16,932
6951,2023-07-20,937
5335,2022-12-03,934
2920,2022-09-16,510
7947,2022-07-13,376
4629,2022-01-21,874
2318,2024-08-19,12
5014,2023-12-30,526
5573,2022-10-04,954
2191,2020-10-02,396
7835,2021-05-08,790
3912,2024-09-19,185
2370,2024-05-09,629
5130,2023-06-09,394
8318,2023-02-01,385
9006,2021-07-10,798
8030,2020-06-10,660
1711,2020-12-05,665
3635,2022-05-27,426
5084,2024-07-15,420
8829,2024-09-01,569
1478,2020-05-02,940
937,2021-02-17,952
4943,2021-01-04,93
3097,2023-01-15,510
8476,2022-03-10,322
6304,2023-08-09,874
6338,2021-10-06,514
459,2022-06-15,813
4499,2021-12-18,511
5831,2024-10-29,588
9135,2023-04-02,46
9990,2024-01-15,732
3598,2020-02-28,464
6466,2020-05-30,717
1382,2022-01-19,926
7717,2020-04-04,573
8804,2021-07-05,383
8949,2021-08-01,612
6252,2022-09-28,557
2258,2020-01-17,472
7654,2024-09-20,609
8180,2024-02-09,221
5397,2023-01-11,308
2040,2020-05-02,616
4788,2022-06-09,574
9426,2023-11-09,501
1992,2020-02-14,358
5130,2024-03-07,872
9495,2021-03-06,23
3498,2020-06-30,445
8678,2024-07-30,814
6358,2024-05-21,803
5793,2020-01-01,718
9285,2024-05-14,552
9440,2022-08-03,824
9052,2024-05-10,481
537,2021-08-01,984
6037,2022-09-16,779
7950,2024-05-29,238
2869,2024-04-02,58
9865,2020-05-13,900
3696,2020-11-06,719
26,2022-04-10,734
412,2023-06-16,128
8877,2022-09-22,370
6269,2020-01-21,653
6008,2023-11-20,942
6289,2020-01-31,141
2102,2020-10-15,306
5559,2021-01-07,995
5619,2021-06-28,278
819,2023-02-23,996
8626,2020-05-22,964
8767,2024-07-23,77
159,2024-09-01,13
1770,2023-11-04,919
8671,2024-06-14,929
8820,2020-03-16,466
8489,2020-06-03,775
2624,2021-11-02,729
2781,2024-08-14,598
1185,2022-05-31,681
5432,2020-10-04,253
2260,2021-06-07,750
285,2024-02-28,748
3665,2021-09-28,428
2878,2022-07-10,14
5545,2021-11-07,923
6565,2021-03-20,793
8495,2022-01-19,961
6077,2023-10-02,480
6367,2022-10-12,796
5560,2023-02-09,758
4106,2023-02-17,784
1511,2021-07-28,950
6966,2020-06-08,712
7809,2023-12-13,616
1780,2021-05-20,442
3592,2021-08-01,912
3988,2024-02-17,905
523,2020-08-07,443
9756,2023-02-16,702
6557,2024-08-13,615
5163,2024-06-11,245
5735,2021-05-03,902
8780,2022-12-25,871
5652,2023-04-09,184
5616,2022-05-22,114
8226,2021-03-03,542
9476,2022-10-07,200
1581,2023-10-16,570
9432,2022-07-01,578
2291,2020-10-18,922
1915,2023-05-05,873
1831,2023-03-15,330
2276,2024-07-26,597
110,2021-04-02,13
4245,2023-11-03,314
7137,2023-02-10,138
2073,2021-04-19,441
2073,2024-01-31,267
114,2023-08-16,763
8519,2023-10-16,165
8042,2024-09-05,27
4043,2020-11-20,789
2189,2021-03-10,505
2287,2022-08-07,252
1853,2023-02-06,537
7558,2023-04-12,595
482,2021-10-28,842
669,2020-01-18,517
4374,2020-05-14,236
9471,2024-05-14,700
4594,2021-03-07,115
4208,2023-03-15,460
5455,2021-10-29,682
5252,2022-08-30,538
5498,2023-01-03,200
3561,2023-01-07,380
4351,2020-11-06,668
4394,2021-03-04,73
4735,2020-09-18,709
3744,2021-08-11,37
9670,2020-06-05,264
1808,2022-10-14,469
2888,2024-10-19,31
7457,2024-04-21,376
2162,2024-07-15,98
3684,2023-09-01,516
4955,2022-09-12,91
7957,2023-04-22,44
643,2024-06-08,910
8125,2020-11-26,241
1085,2021-11-20,708
6614,2023-06-29,508
9643,2023-09-10,874
1973,2021-08-07,219
7694,2022-12-31,764
240,2020-10-28,282
2212,2021-07-11,19
3534,2023-11-08,443
9087,2024-03-11,149
9427,2024-06-05,68
553,2021-03-16,546
7264,2020-07-12,27
1363,2023-05-04,530
1001,2023-06-26,943
113,2021-12-22,76
6683,2020-08-21,616
281,2021-02-20,447
5324,2024-08-31,873
5427,2020-12-10,482
5290,2022-08-31,435
229,2020-12-23,322
3020,2021-10-05,990
6062,2022-06-14,942
7849,2024-01-08,91
2204,2022-10-08,454
2221,2022-06-01,972
5526,2023-07-19,256
4381,2022-10-03,812
9290,2022-09-22,52
6792,2020-11-14,777
4286,2021-09-01,45
86,2021-02-18,112
3161,2022-07-06,653
3438,2022-03-10,901
9446,2024-06-27,810
5286,2020-08-25,364
8105,2022-07-12,939
5587,2022-11-02,575
9646,2022-03-10,53
7452,2020-12-01,921
8029,2021-03-18,607
8641,2021-10-25,238
1407,2023-05-01,516
9756,2021-02-13,500
4541,2020-10-07,612
2466,2022-08-24,546
5228,2021-09-29,187
6485,2023-02-12,507
9722,2021-11-07,975
2106,2024-11-29,15
2461,2024-11-22,545
9019,2023-02-26,552
388,2020-05-17,583
4103,2024-04-30,443
1150,2022-09-28,403
362,2021-03-31,269
8471,2020-10-27,217
2873,2020-01-14,274
804,2020-07-24,686
2374,2023-12-23,361
6315,2023-11-28,188
3120,2023-10-08,988
6616,2020-10-14,914
4049,2020-03-08,68
2165,2023-07-24,248
5538,2020-08-01,534
716,2020-07-29,492
6416,2023-02-13,462
5228,2020-06-08,354
1304,2020-05-06,523
6565,2022-02-15,723
9324,2021-10-30,830
2968,2022-01-12,218
4381,2024-04-16,114
1115,2020-04-03,210
5951,2022-11-27,852
1765,2023-07-08,661
4038,2022-10-06,660
2493,2024-06-06,53
9337,2023-08-01,398
8828,2022-05-07,934
7283,2024-04-15,858
8284,2024-02-16,58
7879,2022-01-24,310
8084,2020-04-11,22
9027,2024-04-28,494
5638,2024-11-29,296
447,2024-04-16,303
6526,2024-10-07,372
3955,2021-11-19,462
5160,2021-02-21,363
4201,2022-01-18,808
1110,2021-07-25,442
5432,2023-04-20,390
2946,2022-06-18,469
7273,2020-09-24,956
7794,2022-02-12,121
3663,2024-04-07,393
9885,2024-09-08,727
5467,2022-06-04,376
2305,2020-11-23,576
8807,2022-05-07,812
4281,2024-01-28,151
3099,2022-08-09,147
6400,2023-06-19,487
3425,2020-02-26,972
8597,2023-08-28,501
9368,2024-01-05,66
7033,2023-07-03,375
1241,2020-11-06,314
6432,2022-05-26,744
4856,2022-09-24,193
8692,2020-01-17,213
3132,2024-04-01,327
3390,2023-05-18,216
355,2022-04-18,438
1464,2021-09-29,538
5246,2024-01-29,662
8298,2022-07-07,554
8560,2022-01-27,385
9840,2024-09-05,148
3207,2021-12-25,898
7794,2020-07-13,251
8746,2021-02-09,101
9724,2023-11-27,817
6643,2021-11-20,685
7102,2024-09-28,345
3761,2022-02-10,809
4466,2022-07-02,783
2168,2021-08-05,682
3865,2023-05-06,599
5909,2023-08-21,58
880,2024-04-24,952
8889,2020-01-13,873
8216,2022-06-15,469
7518,2020-06-06,468
5599,2020-11-10,444
5700,2023-03-25,587
8082,2020-11-06,163
4618,2020-09-16,11
5874,2022-12-04,301
7932,2022-06-13,493
47,2024-10-22,356
1115,2020-08-06,806
7144,2023-01-09,165
9444,2020-08-08,326
8818,2023-07-09,795
2559,2022-01-06,150
1524,2022-12-19,240
4798,2022-10-31,605
9769,2022-03-23,137
4599,2024-10-05,127
1238,2020-04-20,733
5305,2022-08-24,721
1334,2022-04-21,516
5713,2022-10-16,613
6541,2024-09-21,248
6835,2024-09-14,123
2160,2024-07-06,475
1160,2020-02-19,199
5422,2024-06-05,344
1652,2020-02-26,403
3643,2024-05-13,223
2761,2021-07-01,676
2464,2021-01-07,335
9912,2022-01-25,131
2113,2022-03-30,376
6202,2024-06-25,683
7649,2022-05-14,258
6499,2023-10-08,809
4184,2020-12-29,958
8100,2022-11-22,669
3147,2024-05-04,254
9401,2021-03-02,198
4393,2021-07-10,366
6759,2021-04-09,395
229,2023-09-05,188
1742,2024-01-09,955
3768,2023-06-20,836
1032,2020-04-26,629
2735,2020-05-28,222
6769,2021-06-27,828
8375,2024-07-06,456
770,2020-12-10,502
8147,2020-11-21,53
9176,2021-04-30,82
2587,2020-02-21,983
9708,2022-12-26,457
9336,2020-05-13,492
2989,2020-04-26,359
8000,2021-10-05,302
7317,2021-02-27,765
1002,2020-10-04,794
4800,2023-07-21,43
2557,2020-04-24,415
6407,2020-02-15,324
6464,2023-12-14,581
5980,2023-12-31,480
4998,2023-05-24,587
4318,2022-06-09,925
6772,2020-07-23,662
9516,2021-06-15,954
8028,2023-06-01,389
6725,2024-05-02,82
7396,2020-07-30,294
9843,2020-03-16,215
2762,2020-06-22,361
649,2021-08-18,885
5963,2024-02-16,617
8760,2021-12-04,601
9866,2021-11-06,690
1770,2023-06-22,575
8836,2023-03-22,656
4179,2021-08-04,331
3419,2020-12-09,973
140,2020-12-14,805
879,2023-06-28,592
5890,2023-08-18,277
3091,2021-08-16,887
7787,2022-06-14,128
6284,2020-12-10,412
4587,2021-08-05,862
4739,2023-12-19,653
3325,2023-07-29,997
1447,2022-11-15,270
5164,2024-03-03,231
7410,2021-10-27,782
8208,2021-08-08,267
6298,2020-04-03,388
2843,2023-04-15,37
568,2024-11-15,751
1542,2020-11-19,93
5879,2023-04-30,619
6006,2022-12-04,143
2733,2024-02-28,504
6789,2021-12-26,471
959,2024-08-28,802
42,2022-02-19,755
4508,2024-06-20,699
9592,2020-09-17,504
9141,2022-12-03,594
2058,2024-04-20,40
7596,2022-04-04,564
3663,2020-07-12,700
3587,2023-03-07,763
1769,2021-02-25,913
1744,2022-08-19,938
7450,2021-09-25,723
1607,2021-02-04,41
3105,2024-04-23,686
2497,2022-09-06,305
1801,2021-07-27,750
7338,2023-10-02,963
2633,2020-05-05,360
2881,2021-02-09,454
3074,2020-01-11,105
3265,2024-02-20,846
4141,2022-01-02,196
5753,2020-02-10,612
5526,2022-08-06,754
8313,2023-09-04,396
2548,2020-08-22,776
7352,2024-10-19,922
3565,2023-11-22,153
2139,2024-10-14,571
7558,2024-01-20,356
8504,2021-02-11,838
6970,2021-10-29,788
1626,2021-10-25,852
8091,2023-02-20,261
8794,2024-10-25,221
125,2021-08-18,69
4535,2020-08-19,746
5780,2021-09-20,823
5141,2020-11-18,548
4620,2023-06-14,70
9836,2022-06-07,36
6478,2023-10-07,798
9473,2022-06-13,472
6693,2022-05-19,180
6352,2023-12-23,920
2427,2023-04-20,301
1615,2024-01-07,280
6283,2021-01-06,301
1146,2023-10-18,132
3911,2021-04-02,305
3645,2020-05-26,231
3403,2024-07-06,560
5931,2024-04-24,384
5147,2023-02-22,505
3733,2022-10-28,759
9802,2024-08-18,926
5749,2023-08-21,364
4932,2022-10-25,280
387,2020-03-24,151
3717,2022-08-11,238
3900,2023-08-11,143
9211,2023-10-27,385
7878,2020-05-18,792
7139,2022-08-25,136
1382,2020-04-20,810
9677,2023-01-24,413
2349,2022-12-07,383
7770,2022-05-14,466
9858,2020-03-18,53
1475,2023-12-09,658
4543,2021-05-03,461
4698,2022-07-07,225
5869,2023-06-29,287
4177,2022-12-30,220
3732,2023-05-05,906
2992,2021-10-15,283
2936,2020-04-10,921
6880,2022-07-09,451
32,2024-06-11,695
4496,2020-02-04,475
782,2020-10-09,653
1715,2024-02-26,724
8180,2021-11-13,218
4981,2021-04-18,776
4902,2023-06-05,786
4944,2021-04-06,854
8399,2021-01-28,314
1274,2021-09-29,189
589,2023-03-31,363
4020,2023-07-02,915
9258,2022-08-11,363
1099,2023-04-13,458
4729,2023-07-14,896
3653,2024-10-13,448
3212,2023-12-14,149
7660,2022-07-10,768
8911,2022-10-29,603
404,2022-09-29,699
5874,2022-08-08,462
7944,2020-07-09,879
397,2022-12-17,152
256,2023-02-20,232
524,2020-11-19,855
754,2024-01-03,656
4879,2023-10-08,551
5062,2024-03-15,873
5925,2023-12-06,97
8761,2020-04-08,210
307,2020-05-28,957
3903,2022-10-05,911
7746,2023-05-22,244
7204,2024-03-02,467
7222,2023-11-17,629
8347,2023-10-30,958
4295,2024-02-27,657
8308,2024-10-13,748
9031,2020-04-17,735
620,2021-10-20,684
912,2021-07-01,418
4553,2022-08-16,22
3413,2023-06-04,541
8934,2024-10-06,311
7859,2022-05-31,147
6719,2021-07-19,278
7129,2020-07-28,501
8292,2021-01-31,150
4869,2024-07-23,165
4170,2021-04-05,498
395,2023-11-10,723
7235,2024-10-20,460
3303,2024-10-29,686
497,2021-08-25,937
8529,2022-07-29,733
561,2020-11-03,245
979,2020-04-30,53
3840,2020-07-02,591
1586,2023-09-05,175
6165,2023-11-09,634
9546,2023-02-10,603
9230,2022-10-23,98
1750,2022-05-28,500
1203,2022-11-05,203
1628,2020-10-07,321
6150,2023-09-17,284
4827,2020-03-21,333
2808,2021-04-05,391
8483,2021-12-31,541
9045,2023-07-03,545
945,2023-01-08,179
9717,2022-12-09,630
2673,2024-08-02,640
1747,2024-04-09,403
875,2021-01-29,447
4588,2020-11-27,704
5473,2020-09-28,480
1729,2024-08-04,562
7457,2020-05-01,477
4249,2022-03-22,360
3088,2023-11-22,548
6978,2021-11-13,455
8094,2024-09-18,826
4510,2020-06-05,159
8655,2023-04-23,58
3475,2023-08-12,52
9750,2024-08-23,63
8760,2024-01-13,884
7596,2023-04-15,900
4570,2023-04-19,157
2917,2021-11-28,477
9739,2022-11-17,943
8334,2024-03-10,185
6191,2022-05-13,632
9529,2021-01-04,882
2239,2024-03-26,661
8504,2022-05-24,43
8172,2020-08-16,271
8453,2022-12-21,896
3668,2022-04-14,479
5078,2022-11-24,763
7521,2022-10-19,327
725,2020-10-18,669
2825,2023-12-16,538
4404,2022-09-26,425
7901,2022-05-17,633
5753,2021-08-08,129
8319,2021-10-10,16
7897,2022-09-10,221
3770,2020-09-05,649
2138,2022-03-10,415
3272,2021-03-19,943
7841,2023-10-21,172
187,2023-10-24,402
4353,2024-02-02,910
9069,2021-06-04,704
7109,2020-05-08,864
4135,2023-07-19,840
5566,2023-07-08,214
9295,2020-04-20,925
2339,2022-02-27,339
5097,2023-11-05,828
5953,2020-04-23,882
9677,2021-09-04,668
1881,2022-12-28,636
7652,2020-05-24,419
6914,2021-10-27,817
8770,2021-04-10,180
5920,2020-03-17,991
36,2021-04-22,888
3829,2024-01-22,445
235,2023-08-26,802
4033,2023-02-26,110
7859,2022-03-06,885
9219,2022-06-27,203
876,2022-07-01,209
1455,2021-06-21,535
5347,2024-07-10,318
4795,2022-03-11,465
6125,2022-05-30,71
6932,2020-06-06,422
3074,2021-01-09,659
4331,2021-02-25,435
2584,2022-03-22,586
1455,2022-05-27,300
97,2024-10-19,706
9896,2021-05-27,169
5951,2024-08-28,89
9241,2021-02-21,605
6735,2024-07-02,989
202,2024-07-02,543
2704,2023-01-03,263
4939,2023-02-05,434
4682,2020-04-07,309
1388,2020-05-11,783
594,2021-09-30,226
3010,2024-04-07,373
1610,2024-11-04,392
5899,2020-11-15,745
5762,2020-11-21,309
1517,2024-10-23,702
3808,2021-03-30,128
4754,2023-10-28,336
9501,2021-09-04,358
3845,2020-01-12,752
1358,2020-05-21,175
8700,2024-11-11,428
1860,2020-08-06,171
4378,2023-09-15,412
5377,2023-05-07,967
3507,2022-02-10,695
1358,2020-07-18,407
4007,2024-08-22,860
1136,2021-07-25,219
4314,2020-06-20,747
214,2022-04-15,597
8530,2021-05-01,836
4632,2023-11-10,409
2850,2023-05-19,625
2525,2023-07-07,561
6194,2023-02-28,628
7007,2022-08-28,661
6587,2022-01-08,495
4426,2024-01-26,337
9736,2021-05-06,358
6756,2023-01-17,410
5557,2022-09-18,143
4691,2020-11-09,401
2771,2021-02-17,186
5773,2022-08-24,371
2226,2021-08-11,764
4772,2021-04-30,227
8860,2022-06-19,562
2966,2020-05-08,562
5905,2024-10-16,870
731,2023-12-31,239
7146,2022-03-24,202
6138,2022-03-24,82
1341,2023-08-07,558
3170,2022-02-07,435
6890,2022-05-02,438
6634,2023-07-22,265
376,2022-06-19,35
8245,2020-03-27,767
9839,2022-06-24,907
6248,2024-04-26,447
8303,2021-06-11,219
8616,2021-02-26,816
9148,2020-03-30,130
6926,2023-04-02,341
2465,2022-07-23,651
3141,2024-08-16,197
9923,2023-12-30,373
8567,2024-06-10,903
8312,2023-12-07,99
8388,2021-09-18,990
1816,2023-07-22,746
2966,2024-05-21,898
4564,2024-09-20,246
5154,2024-10-05,840
7067,2023-07-04,672
6780,2023-02-27,592
8904,2020-12-26,965
5100,2022-07-09,715
6197,2020-03-13,232
796,2020-06-04,771
5822,2023-07-07,499
6705,2020-12-10,532
7633,2021-04-19,951
9646,2020-02-18,670
5808,2020-01-18,88
2193,2024-12-04,698
6283,2022-06-24,714
6670,2023-08-11,577
5765,2024-03-13,778
6246,2021-01-28,898
7943,2023-05-13,202
8506,2021-09-07,440
8750,2024-09-15,506
2699,2022-08-05,670
5521,2020-10-25,358
8660,2020-04-27,619
2043,2022-03-24,238
5767,2023-04-12,952
3275,2023-10-04,532
5035,2022-10-11,85
590,2020-03-26,394
8656,2023-04-28,144
9446,2023-05-12,752
1010,2020-12-30,360
7524,2024-07-21,874
9544,2020-03-18,406
6458,2021-06-09,690
8494,2021-09-05,995
6110,2024-07-24,275
3311,2024-04-30,700
2101,2020-11-25,248
8571,2020-08-14,83
3168,2021-04-19,261
7629,2021-01-18,72
6113,2021-06-10,621
5014,2021-08-06,590
3893,2022-05-14,340
7719,2020-02-18,391
8124,2021-03-17,663
1320,2022-06-10,753
2100,2021-08-30,890
1034,2023-04-28,929
4617,2024-10-26,568
3218,2021-02-07,540
880,2020-09-30,36
2018,2021-05-03,813
5694,2024-11-27,170
3385,2023-12-31,884
5208,2022-10-17,226
8976,2023-10-12,581
9439,2023-12-29,621
513,2020-11-22,669
4111,2023-09-22,369
